sentence,translation
神说：「要有光」，就有了光。,"And God said, Let there be light: and there was light."
神站在有权力者的会中，……,God has taken his place in the divine council; …
这小孩儿太神了。,This kid is really smart.
一九二九不出手，三九四九冰上走。,"In the first and the second nine-day period, one should not take out one's hand; / In the third and the fourth nine-day period, the ice is thick enough to stand."
是不是最近很忙？,Been busy lately?
我最近买了一块地。,I bought a piece of land recently.
她最近跑到上海去了。,She ran off to Shanghai recently.
这是最近一期的《读者》。,This is the latest issue of Duzhe.
哪个医院离这儿最近？,Which hospital is closest to here?
住越近越容易迟到。,Those who live closer (to the destination) are more likely to be late.
我屋企好近学校。,My home is close to my school.
现在离春节越来越近了。,We are now getting closer to the Chinese New Year.
别跟他走得太近。,Don't be too close with him.
鼎火真烈。,The fire on the wok was blazing.
拍战拍甲真烈。,The battle was fought very intensely.
万物是借着他造的；凡被造的，没有一样不是借着他造的。,All things were made by him; and without him was not any thing made that was made.
转一张1026上海演唱会门票，原价880，可小刀。,"Reselling an October 26 Shanghai concert ticket, original price 880, small negotiations available."
万里同志，原名万明礼，1916年12月出生于山东省东平县一个贫民家庭。,"Comrade Wan Li, whose original name was Wan Mingli, was born to a poor family in Dongping County, Shandong Province in December 1916."
中国的首都是北京。,The capital of China is Beijing.
他现在在中国旅行。,He's travelling around China right now.
你喜欢中国文学吗？,Do you like Chinese literature?
有几多树木呢？中国人烟稠集，树木无多。,"How much of it is forest? The population of China being very dense, the forests cannot be extensive."
外国人能做到，难道中国人就做不到吗？,Foreigners can do it; can't the Chinese people do it?
虽然我的阅读水平很好，但是跟中国人讲话有点困难。,"Although my reading skills are very good, I have some difficulty conversing with Chinese people."
中国人发明了指南针、火药、造纸和印刷术，叫做中国四大发明。,"The Chinese invented the compass, gunpowder, papermaking and printing. They are known as the Four Great Chinese Inventions."
你说中文吗？,Do you speak Chinese?
我日他们十八辈儿的祖宗！,Screw their ancestors to the eighteenth generation!
一句话，于瘸子把小姨日了。,In one sentence ― Yu the Lame fucked mum's youngest sister.
山本，我日你先人！给句痛快话，投降不投降？,Yamamoto — fuck your ancestors! Give me a quick response: surrender or not?
我们没有白忙。,Our efforts were not in vain.
她白等了。,She waited in vain.
他们的血没有白流。,Their blood was not shed in vain.
所有的工作都白做了。,All the work has been done for nothing.
你可以白拿走这些苹果。,You can have these apples for free.
她生气地白了他一眼。,She gave him an angry stare.
我老是写白字读破句。,I always mispronounce words and break my sentences up in the wrong places.
我把这字念白了。,I've mispronounced the character.
（白）无言独上西楼，月如钩……,"(spoken:) Without words, I ascend the western tower by myself; the moon is like a hook […]
(as may be displayed in the lyrics to Teresa Teng's “Du shang xilou” (獨上西樓))"
你干吗不喝点酒？,How come you don't wanna have a sip of alcohol?
可以跟你借一个火吗？,Can I borrow a light?
这件夹克有三个尺码：小、中、大。,"You can get the jacket in three sizes - small, medium and large."
我们中间有一个15岁的女孩。,A 15-year-old girl was among us.
他在事故中受伤。,He was injured in the accident.
网页正在建设中。,The website is under construction.
导弹成功击中目标。,The missile successfully hit the target.
真让他说中了。,He turns out to be correct.
他试图爬走时肩膀中枪了。,"As he tried to crawl away, he was hit in the shoulder."
他中了肺炎。,He has contracted pneumonia.
笔在桌上。,The pen is on the desk.
在英文上没有相似的说法。,There is no similar way of wording in English.
人人生而自由，在尊严和权利上一律平等。,All human beings are born free and equal in dignity and rights.
还有两个菜没上。,There're two dishes that haven't been served.
上笔和纸来。,Give me the pen and the paper.
她上夜校。,She goes to night school.
安排上了。,It has been arranged.
你快下来。,Come down here.
先去下个软件。,Download the software first.
敲三下门。,Knock at the door three times.
这个不好。,This is not good.
他不爱你。,He does not love you.
我看不见你。,I can't see you.
你不信他话，就是瞧我不起。,
你是日本人吗？不，我不是。,"Are you Japanese? No, I'm not."
你不是日本人吗？不，我是日本人。,"*Intonational high pitch here.
Aren't you Japanese? Yes, I am Japanese."
他每天不是上班，就是去做义工，一点儿休息的时间都没有。,"Every day, he either goes to work or volunteers, not leaving any time for rest."
你爱吃红萝卜不？,Do you like eating carrots?
这水太烫，且得晾会儿呢。,This water is so hot; [it] need to be left alone to cool down for a long time.
这活儿且干不完呢。,This work wouldn't be done even with a lot of time.
他的演讲简短且切中要害。,His speech was short and to the point.
我并没有跟他说。,I have not told them anything.
如今只消串出个人来吓他一吓，吓出几百两银子来，把丫头白白送你做老婆。,
从小儿在东京时，只去行院人家串，那一个行院不爱他！,
从前伊勿敢跳过去，乃伊勿怕了。,"A long time ago he was scared to jump over, but now he isn't."
叫我卜乃？,What do you want me to do?
你待了多久？,How long did you stay?
我们走路走了很久。,We walked for a long time.
物之甘者，吃过必酸。,Things that are sweet leave a sour aftertaste.
我们不能对此事听之任之。,We cannot pass this matter by without protest.
街路车真济，乎？,"There's so many cars on the road, right?"
我乎，欲寄你买一本册。,"I, right, want to send you to buy a book."
花是你送的乎？免歹势啦！,"You gave the flowers, didn't you? Don't be embarrassed!"
你逐个月着寄批来乎。,"You send a letter every month, okay?"
你个仔真系好乖。,Your son is very well-behaved.
二乘八等于十六。,Two times eight equals sixteen.
万乘之国，兵不可以无主。土地博大，野不可以无吏。,"""In a state with ten thousand chariots, the army cannot be without a commander. In a country of vast land, the land cannot be without officials."""
我也去了。,I also went.
我也是中国人。,I am Chinese too.
你如果不去，我也不去。,"If you don't go, I won't either."
我也没有看见过它。,I haven't seen it either.
这也太不像话了。,This is way too outrageous.
他饭也不吃，觉也不睡。,(Disappointingly) he neither eats nor sleeps.
他连畜生也不如，连自己的父母也不养活。,"He is no better than an animal, because he doesn't even support his own parents."
你再聪明，也回答不了这个问题。,"No matter how smart you are, you won't be able to answer this question."
忽抬头，只见方丈门外有一个石狮子，却就举起棍来，乒乓一下，打得粉乱麻碎。,"Suddenly raising his head, all he saw was that outside the abbot's room's doors there was a stone guardian lion, but he just raised his stick, and with a clatter, smashed it into pieces."
我喉咙很干。,My throat feels dry.
自动提示补水功能可令家用电蒸炉也不会有煲干水引发火警的危险。,The ability to automatically remind people to add more water may result in electric household steamers no longer carrying the risk of triggering fire alarms when they become empty.
你的头发很乱。,Your hair is very messy.
我现在心里很乱。,My mind is in turmoil right now.
我吃了一个苹果。,I ate an apple. / I have eaten an apple.
他在北京住了两年。,He lived in Beijing for two years.
他是大学生了。,He has become a college student / He is a college student now.
伊予人拍。,He was beaten up (by someone).
今日我们传你来，有遵旨问你的事。,"We called you here today, because we'd like to follow the emperor's order and ask you some questions."
茅盾的一个亲戚，想到我在教书的教会学校里来找事做了。,A relative of Mao Dun would like to find work in the Catholic school that I teach at.
这里没你的事。,You have no business here.
让我爱而不受感戴，让我事而不受赏赐。,"Let me love and not be respected;
Let me serve and not be rewarded."
有时走天堂窄路或会有困苦，忠心事主一生都蒙福。,"Though the pathway to glory may sometimes be drear, You’ll be happy each step of the way. [original English lyrics]
Walking on the narrow road to Heaven may sometimes be miserable, You’ll be blessed all your life serving the Lord faithfully. [literal English translation]"
他这人特事儿。,He is a very fussy person.
请把任务交给我吧！,Please assign me the task!
读仔一遍亦读一遍。,To read something again after having read it
我又要叫你和女人彼此为仇。你的后裔和女人的后裔也彼此为仇。,"And I will put enmity between thee and the woman, and between thy seed and her seed."
如你所见，我们仍在工作。,"As you can see, we're still working."
她的事仍有希望。,There is hope for her yet.
有些问题仍未解决。,Some problems remain unsolved.
听日就要返学仔喇。,"Tomorrow, you've got to go to school."
我今日好开心仔呀！,I'm really happy today!
我认识他。,I know him.
他也不怕狼虫，不惧虎豹，登上山顶上观看。,"Since he was afraid neither of wolves and lizards nor of tigers and leopards, [he] went straight to the mountaintop to look around."
你代我写封信。,Write a letter for me.
价格在一千元以上。,The price is above one thousand yuan.
彼此以同样的态度对待对方。,One another treating an opposing side with the same attitude.
市民对恶劣天气要作出适当的预防措施，以减低可能引致的人命伤亡及财物损失。,"The public should take appropriate preventive measures against severe weather in order to minimize possible loss of life, injury and property damage."
仲未得住。,It's still not OK.
依条裤仲贵。,This pair of pants is even more expensive.
把蛋糕切成四份。,Cut the cake into four pieces.
我无共伊讲。,I didn't tell him.
伊伏在地上；车夫便也立住脚。,She laid prostrate on the ground; the coachman also had halted.
有人需要休息。,Someone needs to rest.
他的点子真多，一个好似一个。,"He has so many ideas, each one better than the next."
这种情况很少见，但也不是不会发生。,"This type of situation is rare, but it may still happen."
他们抱怨工资过低。,They complained that the wages were too low.
你在作什么？,What are you doing?
你今天晚上有空吗？,Are you free this evening?
我喜欢你。,I like you.
这突如其来的消息使他大为震惊。,This sudden news caused him great shock.
科学精神是使人摆脱愚昧盲目的有效武器，是推动社会进步的强大力量。,The scientific spirit is an effective weapon that makes people cast off ignorance and blind beliefs. It is a strong force that drives forward the progress of society.
嫂嫂，借扇子我使使。,"Sister, lend the fan to me."
我一会儿就来。,I'll come in a moment.
我不知道它是从哪里来的。,I didn't know where it came from.
让我来做吧。,Let me do it.
我做不来俯卧撑。,I can't do push-ups.
他摘了一个荷叶来当雨伞。,He picks a lotus leaf in order to use it as an umbrella.
警察一到现场，人群便四散离去。,The crowd soon dissipated when the police arrived.
他到了日本，不久便发了洋财。,He went to Japan and soon made a big fortune.
他二十几岁便开始谢顶。,He started going bald in his twenties.
他一得空便跑出去玩。,"As soon as gets free, he (then) runs out to play."
其母系北京人。,His mother is a native of Beijing.
你要保大还是保小？,Do you want to save the mother (“the big one”) or the baby (“the small one”)? (a common line in obstetrics-themed dramas)
我才不信呢。,I don't believe it/you.
我父亲信佛教。,My father is a Buddhist. (lit. My father believes in Buddhism.)
这人来，为要作见证，就是为光作见证，叫众人因他可以信。,"The same came for a witness, to bear witness of the Light, that all men through him might believe."
有那么俩臭子儿还真以为有多了不起啊？,They've only got a bit of money and they really think they're somebody?
我有一个问题。,I have a question.
我投资失败，亏了三十来个。,I invested and it failed; I lost 300+ grand.
他一下跑个两三公里都不在话下。,Running two or three kilometers in one go is a piece of cake for him.
他们俩就差个一两岁。,The age difference between them is only about one or two years.
我们昨天见了个面，聊了聊近况。,"We met yesterday, and chatted about how we've been recently."
那些个年的事现在回忆起来还是记忆犹新。,It feels like yesterday when I reminisce about those stories in the past.
标语勿是我写个。,I didn't write that slogan.
事体老妖个。,It's quite an odd happenstance.
你个笨蛋！,You idiot!
我个学生，我个生日个十月三号。,I am a student. My birthday is 3rd October.
我个潮州来个。,"I come from Chaozhou. (i.e., It is Chaozhou that I come from.)"
相公忠义，某们不肯做此事。,"Sir, you are a good man. We will not do this."
艾奇逊们的欺骗做法在中国还有一层薄薄的社会基础。,The deceptive manoeuvres of the Achesons still have a flimsy social base in China.
我倒，还有这样的。,Oh hell. I can't believe there's such a thing.
他到自己的地方来，自己的人倒不接待他。,"He came unto his own, and his own received him not."
我没有书，你能借我一本吗？,I haven' t got any book; can you lend me one ?
我可以借你的书吗？,Can I borrow your book?
她借着微弱的烛光读书。,She was reading by the faint light of the candle.
我想借此机会感谢大家的支持。,I wish to use this opportunity to thank everyone for your support.
这块玉值一万美元。,This jade is worth ten thousand US dollars.
这趟旅行太值了。,This journey is absolutely worthwhile.
假作真时真亦假，无为有处有还无。,"When falsehood stands for truth, truth likewise becomes false[hood]; where naught be made to aught, aught changes into naught."
你在做什么？,What are you doing?
穿8号球衣的那个运动员是我的偶像！,The athlete wearing no. 8 is my idol!
我们的钱被偷了。,We had our money stolen.
扒手偷了她的皮夹子跑了。,The pickpocket pinched her purse and ran away.
人不可有傲气，但不可无傲骨。,"One should not be arrogant, but should not lack pride in oneself."
快传太医！,"Quick, call for the imperial physician!"
我伤了腿。,I injured my leg.
流浪！流浪！整日价在关内，流浪！,"[I] wander! [I] wander! Day after day in Guannei, [I] wander!"
一元12会，共十二万九千年，周而复始，不断循环，值致地球毁灭。,"Each kalpa has 12 epochs and lasts 129,000 years, repeating endlessly, each kalpa ending with the destruction of the world."
我要先去洗手间。,I need to go to the bathroom first.
他比我先毕业。,He graduated earlier than me.
我要去厕所先。,I need to go to the bathroom first.
你先食一碗饭点会够！,How can you be full eating only one bowl of rice?
一束光透过门缝射进来。,A beam of light shone through the door.
我光着呢。,I'm not decent.
别光吃肉，吃点蔬菜吧。,Don't eat only meat. Eat some vegetables.
我已经用光了所有的钱。,I've already used up all of my money.
呢度好光。,It's very bright here.
这间房间真光。,This room is very bright.
石头磨甲真光。,The stone is polished smooth.
1市两等于50克。,1 market tael is equivalent to 50 grams.
江湖中说你是条好汉，原来是个惧内的庸夫。,"It is said in the rivers and lakes that you are a brave man, but it turns out that you are a husband who fears his wife."
伊无在内。,He/she is not home.
有内味了。,That's the taste.
呢两块扒都太生。,These two steaks are both too rare.
你们这两天真够辛苦的。,You've really been working hard the past few days.
我们说的是两回事。,We are talking about different things.
我前后共买了五双鞋。,"From beginning to end, I altogether bought five pairs of shoes."
我共你讲。,I tell you.
共我开门。,Open the door for me.
你共我会记咧！,Remember this!
呜呼！其真无马邪？,Alas! Is there really no thousand-li horse?
征夫怀往路，起视夜何其？,"This traveler, thinking of the road ahead, rises to see how the night goes."
后来我再也没见过他了。,Afterwards I have never seen him again.
燕子去了，有再来的时候；杨柳枯了，有再青的时候；桃花谢了，有再开的时候。,"Gone are the swallows, still there's a time they'll come again. Wilted are the willows, still there's a time they'll be green again. Withered are the peach blossoms, still there's a time they'll bloom again."
再不出发，我们就会赶不上火车了。,"If we don't leave now, we're going to miss the train."
你再努力也不会成功。,"No matter how hard you work, you will not succeed."
有了这件棉衣，再冷的天我也不怕了。,
我们吃过饭再回去吧。,We shall eat before returning.
党中央办事，总是同地方商量，不同地方商量从来不冒下命令。,It is the practice of the Central Committee of the Party to consult the local authorities on the matters to be taken up; it never hastily issues orders without prior consultation.
来了冒工人。,Many workers came.
只准携带30公斤行李。,Only thirty kilos are allowed for personal luggage
旅馆准不准住小孩和养小动物？,Does the hotel allow children or pets?
凡被造的，没有一样不是借着他造的。,Without him was not any thing made that was made.
床中间凹下去。,The bed sunk in the middle.
彼条路中央有一凹，你着爱较细腻咧。,"There's a depression on that road, you have to be more careful."
你出钱，我出力。,You contribute money and I contribute my strength.
我给他出了个好主意。,I came up with a good idea for him.
球出界了。,The ball went out-of-bounds.
伊二十出。,He's a bit over twenty.
他们学校出了个高考状元。,Their school produced a gaokao top scorer.
出大事了！,Something big happened!
树上出了不少花蕾。,The tree put forth many buds.
这本书是哪家出版社出的？,Which publisher published this book?
现在的孩子们啊嘴都刁着呢，啊。,
这项工作分两阶段进行。,This exercise is divided into two stages.
他和儿子分吃了一张比萨饼。,He shared a pizza with his son.
他和我一起分苹果。,He divided the apples with me.
他们分到了一幢住房。,They were allotted a house to live in.
我分不清他们。他们长得太像了。,I cannot tell them apart. They are very much alike.
现在是7点45分。,It's quarter to eight now.
本题占五十分。,This question counts for 50 points.
我得了多少分？,What's my score?
恐怕有人听见，把头别转来望着门外。,"Worrying if someone might be listening, he turned his head and went towards the door."
你以为你还有别的选择吗？,You think you have other options?
我的事你别管。,Stay out of my business.
别忘了在你的信上贴张邮票。,Don't forget to put a stamp on your letter.
你别走，我有话和你说呢。,Don't leave. I have something to tell you.
删掉这个文件。,Delete this file.
火车到了。,The train has arrived.
陈小明同学！」「到！,"""Is John Doe here?"" ""Present!"" (scene of taking roll at a classroom)"
我到机场接你。,I'll go to the airport to pick you up.
他到中国去了。,He has gone to China.
你怎么没有听到我的敲门声？,How did you not hear my knocking on the door?
不管什么事，我都办得到。,"Whatever the thing is, I can accomplish it."
他体重不到五十公斤。,He weighs less than fifty kilograms.
我最近搬到这个地区。,I recently moved to this area.
这家店从9点开到18点。,This shop is open from 9 to 6 o'clock.
我们要把假期推迟到天气好些的时候。,We shall delay our holiday until the weather is better.
作业是第一题到第八题。,The homework is problems #1 to #8.
这部电视剧太好看了！我已经开始四刷了！,This television drama is so good! I have already begun to watch through it for the fourth time!
晚辅在我刷作业的忙碌中结束，我背着书包回到寝室。,
房子前有一棵树。,There is a tree in front of the house.
我习惯吃饭前先喝汤。,I'm used to having soup before my meal.
现在压迫子女的，有时也就是十年前的家庭革命者。,Some of the current oppressors of children are precisely the revolutionaries of family life from ten years ago.
他的性格是刚与柔的结合。,His character is a combination of strength and kindness.
他刚回来。,He has just came back.
一个月1000元的工资，刚够他吃饭。,"He earns 1000 yuan a month, barely enough for food."
香蕉要拿皮剥脱伊再吃得来个。,You have to peel the banana before you can eat it.
他把任务划给这个小组负责。,He assigned the task to that group.
她个子虽小但力大惊人。,For a small woman she has surprising strength.
这个力的方向与位移相同。,This force is the same direction as the displacement.
他对古董很有鉴赏力。,He has an eye for antiques.
花瓶滚勒地下，皮鞋脱勒床浪。,The vase was rolling on the floor and the shoes were removed on the bed.
我的东西你不要动。,Don't move my stuff.
啊！微风吹动了我的头发，教我如何不想她？,
农村各类互助合作组织和各阶层群众，已经程度不同地普遍地动起来了。,"With the rise and spread of rural co-operation, mutual-aid and co-operative organizations of various types and the people of various strata in the rural areas are all on the move to a greater or lesser degree."
十三大政治报告是经过党的代表大会通过的，一个字都不能动。,
谁动过我的笔记本？,Who's used my laptop?
自从他到法国去了以后，我练习得很勤；我一定可以把他打败。,"Since he went into France, I haue beene in continuall practice; I shall winne at the oddes."
时有一匹银合好马，价约值四十金。,"At the time, there was a fine horse with a silvery coat, which cost about forty gold coins."
老板升了你的职。,The boss gave you a promotion.
鱼刺卡在喉咙里。,A fishbone is stuck in the throat.
公司无预警裁员，从此我的生活就卡在这里。,"The company laid off employees without warning, and my life has been stuck here ever since."
中央政府把地方的预算卡得死死的，什么事都做不了。,The central government is tightening the budget so much that the local governments can’t get anything done.
歹徒卡住他的脖子。,The ruffian choked him.
这本书印了五万册。,"50,000 copies of this book were printed."
如遇紧急情况请即报警。,"In an emergency situation, please call the police immediately."
我喜欢你，却不敢表达。,"I love you, but I do not have the courage to express it."
天高日月明，地厚草木生。,The sky is high and the sun and moon are bright; the earth is large and trees and grass grow.
他原是咱们公司的经历。,He was originally the manager of our company.
但是这儿我住厌了。,But I've grown tired of living here.
你去哪儿？,Where are you going?
他到办公室去请假。,He went to the office to ask for leave.
他去钓鱼了，而没去打网球。,He went fishing instead of playing tennis.
又下雨了！,It's raining again!
自此以后，又长久没有看见孔乙己。,A long time went by after that without our seeing Kung again.
我又饿又渴。,I am hungry and thirsty.
我又想去，又不想去，该怎么办？,"I want to go, but I also don't want to go, what should I do?"
这样做对你又有什么好处？,What good for you is there in doing that?
错的答案打叉。,Put a cross for the wrong answer.
老爷当年何其明决！今日何反成个没主意的人了？,
你把衣服穿反了。,You have put your clothes on inside out.
这话出自你的口，听来令人奇怪。,This sounds strange in your mouth.
我可以吃一口吗？,Can I have a bite?
为什么女朋友给我口我没什么感觉？,Why didn't I feel a thing when my girlfriend blew me?
他一共也没说几句话。,He didn't say much. [lit. He didn't say many sentences.]
我只去过一次。,I've only been there once.
汤里只放了一点儿胡椒粉。,There was just a hint of pepper in the soup.
一日到夜只晓得吃、吃、吃，事体末一眼也勿会得做。,"The only thing [you] do all day is eat, and yet you do nothing important."
你叫什么名字？,What's your name?
这叫什么？,How do you call this? / What is it called?
我们经常叫他的绰号。,We often call him by his nickname.
我可以叫他戴夫吗？,May I call him Dave?
要是需要什么，我就叫你。,I'll call you if anything is needed.
她高兴地叫起来，投入了她母亲的怀抱。,"With a cry of joy, she fell into her mother's arms."
叫他待在家里。,Ask him to stay home.
医生叫他休息几天。,The doctor told him to lay off a couple of days.
我给你叫什么菜？肉排还是鱼？,What shall I order for you? Steak or fish?
庄稼叫大水冲走了。,The crops were washed away by the flood.
这袋子可盛五十公斤。,This bag can hold 50 kilos.
他没有家可住。,He had no place to live.
四川可玩的地方太多了。,There are too many places in Sichuan worth visiting.
您一向可好？,How have you been lately?
你可知罪？,Do you comprehend of you committing the crime?
我喜欢的运动可多了。,There are many sports that I like.
我可不太知道。,I don't really know.
这可不行啊！,But this won't do!
待军师病可，行之未迟。,
他很喜欢吃饭。,He loves to eat.
你吃饭了吗？,How are you?
你吃过饭吗？,Have you eaten? (also a greeting)
排排坐，吃果果。,Let's sit together and eat fruits.
他胸口吃了一枪。,He took a bullet in the chest.
鱼和红酒不合。,Fish and red wine don't go well together.
那个店里没有合我尺寸的帽子。,There are no hats in that store that fit me.
一公顷合十五市亩。,A hectare is equivalent to 15 mu.
这张卡片是我们全家合送的。祝您母亲节快乐。,This card comes from the whole family. Happy Mother's Day.
同一个世界，同一个梦想。,"One World, One Dream. (literally ""The Same World, The Same Dream"")"
他同这件事无关。,He has nothing to do with this.
有件事情我想同你商量一下。,This is something that I want to discuss with you.
我怀着感激与敬重的心情同他道别。,
国家主席习近平12月9日晚同法国总统马克龙通电话。,"On the evening of 9 December, President Xi Jinping had a telephone conversation with French President Macron."
今年的气候同往年不一样。,The climate this year is different from which of the past.
巴西同阿根廷都系南美洲国家。,Brazil and Argentina are both South American countries.
你同我收声！,Shut the heck up!
凡接待他的，就是信他名的人，他就赐他们权柄，作神的儿女。,"But as many as received him, to them gave he power to become the sons of God, even to them that believe on his name."
我有些问题想向您请教。,
大家纷纷把目光投向他。,Everyone cast their gaze towards him.
我听日行吓。,"Tomorrow, I will take a little walk."
你有时间再做吧。,Do it when you have time.
大家去工作吧。,"Get to work, everybody."
门还没锁吧。,"The door has not been locked, I guess."
他这人吧，脾气不太好。,He is not that good-tempered a person.
今铺真系含喇！,We are really screwed this time
你也是重庆人呀。,You're also from Chongqing!?
呀！下雨了！,Ah! It's raining!
门呀的一声开了。,The door opened with a creak.
他是谁呀？,Who is he?
妈喊快点告鸭儿胃口呢。,
你觉得呢？,What do you think?
你爸爸好吗？你妈妈呢？,How is your father? And your mom?
我手机呢？,Where is my phone?
今天我俩值日，我这儿正扫着地，他呢，一溜烟儿跑了。,He and I were on cleaning duty today. I was sweeping the room when he got away in a flash.
我们上汉语课呢。,We are attending a Chinese lesson.
他去哪儿了呢？,I wonder where he's going?
伊来呢勿来？,Is he coming or not?
早点介讲呢！到现在再讲。,"You should have said it sooner, not now!"
地球环绕太阳一周需要约365天。,It takes around 365 days for Earth to complete one revolution around the Sun.
沉默呵，沉默呵！不在沉默中爆发，就在沉默中灭亡。,"Silence, silence! Unless we burst in this silence, we shall perish in this silence!"
仲有三个咋。,There are only three left.
仲有三个咋？,Are there only three left?
五加四的和是九。,The sum of 5 and 4 is 9.
我想买些肉、鱼、面包和鸡蛋。,"I want to buy some meat, fish, bread, and eggs."
这是哪儿和哪儿啊这是？,What kind of connection is this?
他和流浪街头的孩子交上了朋友。,He has made friends with the kids on the street.
他想和其他国家采取一致行动。,He wants to act in concert with other nations.
和你的车比起来，我的车很小。,"Compared with yours, my car is small."
如果你把译文和原文比较一下，你就会找到不准确的地方。,"If you compare the translation with the original, you will find the inaccuracy."
我咧食饭。,I'm eating.
你好无？我真好。你咧？,Are you well? I'm quite well. How about you?
一条狗咬了他的腿。,A dog snapped at his leg.
他被响尾蛇咬过。,He had been bitten by a rattlesnake.
旧螺母咬得住扣儿吗？,Will an old nut grip?
他站在被告席上，什么都招认，什么人都咬。,"He was in the public dock, confessing everything, implicating everybody."
这个字他咬得很准。,He can pronounce this word correctly.
别老咬住我那句话不放。,Don't keep nagging me about that remark of mine.
整场比赛，比分咬得特别紧。,"Throughout the match, the scores were especially close in on each other."
狗朝着门口的陌生人咬了几声。,The dog barked a few times toward the stranger at the door.
这把刀长年埋在地下，已经被土咬坏了。,This knife has been buried underground for years and has already been corroded by the soil.
那人道：「咱要紧去睡，谁个耐烦。有话明日来说。」,"That person said: I must go to sleep, who has the patience? If you have something to say, say it tomorrow."
红女道：「咱姓颜，不知谁是小山姐姐？」,"The girl said: My surname is Yan, (I don't know) who is sister Xiaoshan?"
今日幸遇大姐，咱多饮几杯。,"It is good fortune to have met Big Sis today, let us have a few more drinks."
咱昨日在围场上，你一跳八丈的，如何就这么不好的快？想是脱衣裳冻着了！,
哇！你的样子太酷了！,Wow! You look terrific!
这东西，对我们挺重要，拜托你快递寄过来哈，邮资「到付」，谢谢谢谢！,"This thing is pretty important to us. Please send it over by courier, and we'll pay for it upon arrival. Thank you!"
文大爷，你家的低保已经落实了，放心哈！,"""Uncle Wen, your minimum social security benefits have been put into effect. Don't worry!"""
哈，啥物？,"Huh, what?"
我嘴笨，他哈说不过。,I can't speak well; I can't argue over him/her.
哥哥兄弟哈给掉了个本子。,The elder brother gave the younger brother a notebook.
